id	duration	pitch
1	2.0	76
2	1.75	73
3	0.5	74
4	0.5	78
5	0.5	76
6	0.25	74
7	0.25	73
8	1.0	73
9	1.0	74
10	0.5	71
11	2.25	69
12	0.5	68
13	2.75	69
14	0.5	69
15	0.5	66
16	0.5	64
17	1.5	74
18	0.5	73
19	0.5	81
20	0.5	80
21	1.75	69
22	0.25	71
23	0.25	69
24	1.5	73
25	1.5	69
26	0.25	68
27	0.25	66
28	1.0	64
29	0.25	78
30	0.25	76
31	1.0	69
32	0.75	69
33	0.25	64
34	1.75	74
35	0.25	65
36	0.25	77
37	0.25	80
38	0.25	81
39	0.25	70
40	0.25	75
41	0.25	83
42	2.0	69
43	1.75	68
44	1.75	66
45	0.5	63
46	1.0	62
47	1.0	68
48	2.0	73
49	1.0	76
50	0.5	70
51	0.5	62
52	0.5	61
53	0.0	73
54	0.0	71
55	0.0	69
56	0.0	68
57	1.5	76
58	0.25	62
59	0.25	61
60	0.25	59
61	0.25	57
62	0.5	67
63	0.25	67
64	0.5	65
65	1.0	63
66	0.75	64
67	1.0	80
68	1.0	81
69	0.5	85
70	1.0	78
71	0.75	71
72	0.75	73
73	1.0	71
74	0.75	66
75	0.75	68
76	0.75	81
77	2.5	69
78	2.25	74
79	4.75	69
80	0.25	56
81	2.0	52
82	2.0	50
83	2.25	80
84	0.5	75
85	3.25	71
86	0.25	54
87	3.25	69
88	0.5	72
89	2.25	77
90	0.25	72
91	4.75	77
92	0.25	55
93	0.25	53
94	0.5	77
95	0.5	79
96	1.0	75
97	1.75	79
98	1.0	70
99	2.25	61
100	1.0	58
101	2.25	79
102	1.75	76
103	0.75	70
104	0.5	59
105	0.25	52
106	0.25	51
107	1.0	59
108	0.25	63
109	2.75	71
110	1.75	81
111	0.5	83
112	3.25	76
113	2.25	78
114	1.0	72
115	0.5	49
116	0.5	52
117	0.5	56
118	0.5	55
119	0.5	54
120	1.0	52
121	1.0	49
122	0.25	79
123	2.25	76
124	1.75	75
125	0.25	85
126	0.25	86
127	0.5	57
128	1.0	85
129	0.25	58
130	0.25	82
131	0.75	75
132	0.75	76
133	0.75	80
134	2.25	71
135	1.75	71
136	5.0	83
137	1.0	77
138	1.0	54
139	1.0	61
140	2.25	59
141	2.25	60
142	0.75	61
143	0.75	59
144	1.0	50
145	1.5	81
146	2.25	63
147	1.0	60
148	1.75	80
149	1.75	78
150	2.0	65
151	4.25	67
152	4.25	58
153	4.25	78
154	4.25	60
155	0.25	84
156	1.0	66
157	2.0	71
158	10.75	76
159	2.25	81
160	2.25	83
161	0.25	60
162	2.75	76
163	1.75	57
164	0.25	50
165	0.25	49
166	0.5	50
167	1.5	49
168	1.5	71
169	2.0	57
170	2.0	59
171	1.25	74
172	1.25	76
173	0.75	74
174	0.75	78
175	0.0	74
176	0.0	78
177	0.0	76
178	1.5	83
179	1.5	52
180	1.25	62
181	1.25	57
182	1.25	59
183	1.0	79
184	2.5	79
185	1.0	67
186	1.5	57
187	2.0	62
188	0.0	70
189	0.0	64
190	1.5	64
191	0.0	57
192	0.0	62
193	0.0	66
194	0.0	81
195	0.0	75
196	0.0	72
197	0.0	80
198	0.0	83
199	0.0	85
200	0.0	88
201	0.75	79
202	0.75	63
203	0.75	57
204	0.75	84
205	3.5	76
206	0.75	72
207	0.75	58
208	0.75	60
209	0.5	60
210	0.75	62
211	0.75	50
212	0.5	53
213	0.75	51
214	0.0	60
215	0.0	79
216	2.0	79
217	0.75	53
218	0.5	58
219	0.0	61
220	0.0	59
221	0.0	63
222	0.75	52
